url,n_stars,created_at,updated_at,pushed_at,is_fork,archived_at,is_template,license,primary_language,topics,description
45Drives/cockpit-file-sharing,293,2021-06-01T17:28:14Z,2023-06-29T09:13:04Z,2023-06-10T10:10:42Z,False,,False,GNU General Public License v3.0,Vue,[],A Cockpit plugin to easily manage samba and NFS file sharing.
45Drives/cockpit-navigator,330,2021-05-20T18:15:31Z,2023-06-30T02:02:00Z,2023-06-11T13:59:37Z,False,,False,GNU General Public License v3.0,JavaScript,"['file-browser', 'file-explorer', 'file-navigation', 'cockpit', 'cockpit-navigator']",A Featureful File Browser for Cockpit
5kyc0d3r/upnpy,49,2019-04-14T14:42:54Z,2023-06-16T08:22:11Z,2023-02-06T05:43:13Z,False,,False,MIT License,Python,"['upnpy', 'upnp', 'python']",Lightweight UPnP client library for Python.
89luca89/distrobox,6038,2021-11-18T15:41:03Z,2023-07-02T11:28:42Z,2023-07-01T09:02:41Z,False,,False,GNU General Public License v3.0,Shell,"['centos', 'fedora', 'linux', 'containers', 'podman', 'development', 'suse', 'alpine', 'opensuse', 'almalinux', 'rockylinux', 'archlinux', 'debian', 'docker', 'posix', 'posix-sh', 'ubuntu', 'bash', 'command-line', 'tools']",Use any linux distribution inside your terminal. Enable both backward and forward compatibility with software and freedom to use whatever distribution you’re more comfortable with. Mirror available at: https://gitlab.com/89luca89/distrobox
ACoquereau/psmt2-frontend,10,2018-04-18T17:20:44Z,2023-03-22T04:43:30Z,2023-03-21T18:27:56Z,False,,False,Apache License 2.0,OCaml,[],A simple parser and type-checker for polomorphic extension of the SMT-LIB 2 language
AFLplusplus/AFLplusplus,3769,2019-05-28T14:29:06Z,2023-07-01T18:27:08Z,2023-07-02T12:50:31Z,False,,False,Apache License 2.0,C,"['afl', 'afl-fuzz', 'afl-fuzzer', 'fuzzing', 'fuzzer', 'fuzz-testing', 'instrumentation', 'qemu', 'unicorn-emulator', 'fuzzer-afl', 'afl-compiler', 'afl-gcc', 'unicorn-mode', 'security', 'testing']","The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!"
AICoE/prometheus-api-client-python,0,2022-06-13T15:52:31Z,2023-06-07T09:23:30Z,2022-06-13T15:52:31Z,False,2023-06-07T09:23:30Z,False,,,[],A python wrapper for the prometheus http api
AOMediaCodec/libavif,1122,2019-06-10T17:54:32Z,2023-07-01T11:31:42Z,2023-07-01T00:27:18Z,False,,False,Other,C,[],libavif - Library for encoding and decoding .avif files
ASMfreaK/habitipy,50,2017-07-19T12:33:54Z,2023-04-24T06:07:49Z,2022-11-05T22:16:53Z,False,,False,MIT License,Python,"['habitica', 'emoji', 'plumbum', 'cli-command', 'pypi', 'subcommands', 'python3', 'hacktoberfest', 'hacktoberfest2021']",Command-line interface to Habitica
AbiWord/enchant,306,2013-07-23T02:51:01Z,2023-06-26T13:48:41Z,2023-05-24T09:32:04Z,False,,False,GNU Lesser General Public License v2.1,C++,[],enchant spellchecking library
AcademySoftwareFoundation/Imath,292,2020-06-12T16:18:26Z,2023-06-29T03:26:38Z,2023-07-02T02:53:21Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",C++,"['computer-graphics', '3d-vector', 'matrix', 'openexr']","Imath is a C++ and python library of 2D and 3D vector, matrix, and math operations for computer graphics"
AcademySoftwareFoundation/OpenShadingLanguage,1897,2011-03-10T02:44:05Z,2023-07-02T13:13:46Z,2023-07-02T00:43:08Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",C++,"['osl', 'shading-language', 'shaders', 'c-plus-plus', 'computer-graphics', 'computer-language', 'llvm', 'vfx', 'open-shading-language']",Advanced shading language for production GI renderers
ActiveState/appdirs,979,2010-07-28T04:07:00Z,2023-06-25T21:49:55Z,2023-02-10T23:42:40Z,False,,False,MIT License,Python,[],"A small Python module for determining appropriate platform-specific dirs, e.g. a ""user data dir""."
ActiveState/ez_setup,18,2010-11-23T00:11:58Z,2022-10-27T12:05:36Z,2020-09-23T18:33:23Z,False,,False,,Python,[],ez_setup.py and distribute_setup.py
AdaCore/florist,5,2021-09-27T18:39:49Z,2023-01-22T22:39:43Z,2023-03-02T16:04:06Z,False,,False,GNU General Public License v2.0,Ada,[],
AdaCore/gnatcoll-bindings,11,2017-11-07T09:57:20Z,2023-05-09T03:59:56Z,2023-02-22T19:27:13Z,False,,False,Other,Ada,[],GNAT Components Collection – Bindings to C libraries
AdaCore/gnatcoll-core,44,2017-11-07T09:35:10Z,2023-06-30T02:21:25Z,2023-06-30T07:50:38Z,False,,False,Other,Ada,[],GNAT Components Collection – Core packages
AdaCore/gnatcoll-db,11,2017-11-07T09:58:42Z,2022-09-18T21:34:13Z,2023-01-19T07:38:07Z,False,,False,Other,C,[],GNAT Components Collection – Database packages
AdaCore/gprconfig_kb,3,2020-06-03T15:43:49Z,2023-06-01T20:35:21Z,2023-06-07T18:10:21Z,False,,False,Other,,[],GPR configuration knowledge base
AdaCore/gtkada,76,2015-09-29T15:56:46Z,2023-04-21T04:58:49Z,2023-06-07T00:55:07Z,False,,False,Other,Ada,[],Ada bindings for the GTK+ graphical library.
AdaLogics/go-fuzz-headers,65,2021-03-22T12:52:20Z,2023-06-04T17:06:02Z,2023-06-22T18:59:59Z,False,,False,Apache License 2.0,Go,[],
Ademan/xrestrict,19,2014-10-26T23:54:00Z,2022-01-15T11:02:24Z,2016-07-30T21:42:56Z,False,,False,MIT License,C,[],"A utility to modify the ""Coordinate Transformation Matrix"" of an XInput2 pointer device."
Airblader/i3,5982,2014-11-21T18:43:05Z,2023-06-26T16:29:45Z,2022-11-01T17:29:33Z,False,2022-11-07T04:46:50Z,False,"BSD 3-Clause ""New"" or ""Revised"" License",C,"['i3-gaps', 'i3', 'i3wm', 'x11', 'x11-wm', 'xorg', 'xcb']",A fork of the i3 window manager with gaps and some other features. :warning: i3-gaps has been merged into i3. 
Airblader/unclutter-xfixes,304,2015-07-05T13:26:14Z,2023-06-30T00:59:54Z,2022-03-29T07:50:07Z,False,,False,MIT License,C,"['unclutter', 'x11', 'xcb', 'xorg', 'xfixes', 'cursor']",Hides the cursor on inactivity (rewrite of unclutter)
Airblader/xcb-util-xrm,54,2016-01-17T12:05:45Z,2023-04-12T20:35:56Z,2018-06-21T09:20:03Z,False,,False,Other,C,"['x11', 'xcb', 'xrm', 'linux', 'c', 'xorg', 'xresources']",XCB utility functions for the X resource manager
AlDanial/cloc,16295,2015-09-07T03:30:43Z,2023-07-02T16:11:50Z,2023-06-10T19:22:47Z,False,,False,GNU General Public License v2.0,Perl,"['cloc', 'count-lines', 'programming-language']","cloc counts blank lines, comment lines, and physical lines of source code in many programming languages."
go-survey/survey,3838,2016-10-30T17:03:15Z,2023-07-02T03:31:07Z,2023-06-13T08:58:08Z,False,,False,MIT License,Go,"['cli', 'interactive', 'prompt', 'golang', 'command-line', 'windows', 'unix']",A golang library for building interactive and accessible prompts with full support for windows and posix terminals.
Alecaddd/sequeler,774,2017-08-02T04:38:08Z,2023-06-24T18:31:29Z,2023-05-13T20:51:00Z,False,,False,GNU General Public License v3.0,Vala,"['vala', 'gtk3', 'debian', 'sql-client', 'appcenter', 'flathub', 'meson', 'flatpak', 'hacktoberfest']",SQL Client built in Vala
Alecaddd/taxi,93,2018-07-18T22:36:17Z,2023-06-20T19:27:03Z,2021-08-13T22:09:36Z,False,,False,GNU Lesser General Public License v3.0,Vala,[],The FTP Client that drives you anywhere
AlexandreRouma/SDRPlusPlus,2656,2020-06-10T02:12:59Z,2023-07-01T21:24:39Z,2023-07-02T16:00:47Z,False,,False,GNU General Public License v3.0,C++,"['sdr', 'cross-platform']",Cross-Platform SDR Software
Alexays/Waybar,3800,2018-08-08T21:53:36Z,2023-07-02T15:04:49Z,2023-07-02T10:52:16Z,False,,False,MIT License,C++,"['wayland', 'wlroots', 'sway', 'bar', 'statusbar', 'gtk', 'i3status']",Highly customizable Wayland bar for Sway and Wlroots based compositors. :v: :tada:
Alexis-benoist/eralchemy,1027,2015-04-29T21:07:23Z,2023-06-30T15:44:50Z,2023-05-20T07:39:11Z,False,,False,Apache License 2.0,Python,"['sql', 'database', 'schema', 'mysql', 'sqlalchemy', 'postgresql', 'visualization', 'documentation-tool']",Entity Relation Diagrams generation tool
AlizaMedicalImaging/AlizaMS,170,2020-03-01T16:05:27Z,2023-06-29T13:41:54Z,2023-06-29T07:27:01Z,False,,False,GNU General Public License v3.0,C++,"['medical-imaging', 'dicom-viewer', 'opengl', 'dicom', 'dicom-files', 'dicom-image-viewer', 'medical-application', 'medical', 'qt', '3d', 'dicom-structured-report', 'rtstruct', 'volume-rendering', 'visualization', 'glsl']",DICOM Viewer
ocaml-opam/ocaml-mccs,22,2017-07-13T10:09:15Z,2023-05-28T07:11:15Z,2023-05-09T10:30:49Z,False,,False,Other,C,[],Stripped-down version of mccs with OCaml bindings
AmedeeBulle/pyrak811,46,2019-02-16T22:26:02Z,2023-05-13T22:37:44Z,2022-02-27T10:20:17Z,False,,False,Apache License 2.0,Python,"['lora', 'lorawan', 'rakwireless', 'raspberry-pi']",RAK811 Python 3 library for Raspberry Pi
AnalogJ/lexicon,1367,2016-02-02T07:53:04Z,2023-07-02T10:39:52Z,2023-06-30T13:15:42Z,False,,False,MIT License,Python,"['dns-service', 'letsencrypt', 'cli', 'lexicon', 'dns-provider', 'ssl-certificate', 'cloudxns', 'digitalocean', 'dns', 'dnspod', 'gandi', 'transip', 'yandex', 'vultr', 'cloudflare', 'pypi', 'clouddns', 'constellix', 'dnsimple', 'godaddy']",Manipulate DNS records on various DNS providers in a standardized way. 
AndreasBriese/bbloom,128,2014-08-01T14:50:58Z,2023-05-29T14:28:33Z,2019-08-25T15:27:05Z,False,,False,Other,Go,[],go/golang: fast bit set Bloom filter 
Andrewsville/PHP-Token-Reflection,190,2011-05-06T14:43:55Z,2023-06-23T14:25:00Z,2021-08-30T15:52:42Z,False,,False,Other,PHP,[],Library emulating the PHP internal reflection using just the tokenized source code
Anorov/PySocks,1157,2012-02-21T09:10:49Z,2023-06-30T08:58:09Z,2022-12-14T13:31:45Z,False,,False,Other,Python,"['proxy', 'socks-proxy']",A SOCKS proxy client and wrapper for Python.
AntiMicroX/antimicrox,1537,2020-08-25T06:55:38Z,2023-07-02T07:48:37Z,2023-06-28T15:19:23Z,False,,False,GNU General Public License v3.0,C++,"['gaming', 'gamepad', 'gamepad-api', 'games', 'controller', 'keyboard-emulation']",Graphical program used to map keyboard buttons and mouse controls to a gamepad. Useful for playing games with no gamepad support.
Anvil/bash-argsparse,162,2012-09-24T10:47:51Z,2023-06-03T19:50:34Z,2022-01-08T18:57:40Z,False,,False,Do What The F*ck You Want To Public License,Shell,"['shell', 'argsparse', 'argparse', 'bash', 'getopt', 'library', 'argument', 'getopts', 'command-line-parser', 'command', 'line', 'completion', 'bash-completion', 'argsparse-library']",An high level argument parsing library for bash
Aorimn/dislocker,1376,2012-12-10T18:06:27Z,2023-07-02T09:55:31Z,2023-06-12T16:53:53Z,False,,False,GNU General Public License v2.0,C,[],FUSE driver to read/write Windows' BitLocker-ed volumes under Linux / Mac OSX
Apipie/apipie-rails,2403,2011-10-25T10:31:02Z,2023-06-29T23:40:02Z,2023-06-28T13:24:57Z,False,,False,Apache License 2.0,Ruby,[],Ruby on Rails API documentation tool
Apipie/apypie,1,2018-11-19T09:18:12Z,2023-03-31T11:08:08Z,2023-06-27T05:32:58Z,False,,False,MIT License,Python,"['python', 'apipie-bindings', 'apipie', 'requests', 'json']",Apipie bindings for Python
pontaoski/taigo,30,2019-11-23T18:16:33Z,2023-06-24T13:32:17Z,2023-04-11T12:30:58Z,False,,False,GNU General Public License v3.0,Vala,[],"A virtual pet for your desktop built with GTK+, Vala, and love."
ArangoDB-Community/pyArango,232,2014-10-05T01:44:11Z,2023-06-19T19:57:19Z,2023-04-14T23:58:57Z,False,,False,Apache License 2.0,Python,"['python', 'database', 'nosql', 'nosql-databases', 'nosql-database', 'nosql-data-storage', 'arangodb', 'arango', 'graph-database']",Python Driver for ArangoDB with built-in validation
ArcticaProject/nx-libs,111,2015-01-30T10:03:57Z,2023-06-29T22:30:40Z,2023-06-28T11:35:26Z,False,,False,Other,C,"['x11', 'remote-desktop', 'nx', 'x2go', 'qvd', 'arctica']",nx-libs
ArtsyMacaw/wlogout,307,2019-12-29T00:58:35Z,2023-07-01T22:36:15Z,2023-02-22T03:21:15Z,False,,False,MIT License,C,[],A wayland based logout menu
AsahiLinux/alsa-ucm-conf-asahi,7,2022-09-06T14:43:28Z,2023-06-14T17:21:58Z,2022-11-20T09:17:10Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",,[],Asahi overlay with ALSA Use Case Manager configuration
AsahiLinux/asahi-installer,566,2021-08-12T17:24:55Z,2023-07-02T11:05:35Z,2023-06-15T23:38:51Z,False,,False,MIT License,Python,[],Asahi Linux installer
AsahiLinux/asahi-scripts,25,2022-02-25T12:32:54Z,2023-07-01T23:04:40Z,2023-06-20T12:21:45Z,False,,False,MIT License,Shell,[],Miscellaneous admin scripts for the Asahi Linux reference distro
AsahiLinux/m1n1,2848,2021-01-14T18:59:03Z,2023-07-02T15:52:29Z,2023-06-27T09:35:28Z,False,,False,MIT License,Python,[],A bootloader and experimentation playground for Apple Silicon
Asvel/fontname,2,2014-09-04T07:59:15Z,2022-09-15T21:40:04Z,2023-03-21T00:16:50Z,False,,False,MIT License,Python,['font'],Read and decode quirk encoded name records from OpenType fonts.
AudriusButkevicius/cli,2,2014-07-13T12:58:27Z,2021-11-09T07:55:32Z,2018-07-19T16:44:21Z,True,,False,MIT License,Go,[],A small package for building command line apps in Go
AudriusButkevicius/go-nat-pmp,1,2016-04-10T19:12:14Z,2020-08-30T23:37:15Z,2016-06-02T23:16:39Z,True,,False,Other,Go,[],A Go language client for the NAT-PMP internet protocol for port mapping and discovering the external IP address of a firewall.
Autodesk/AutomaticComponentToolkit,31,2018-12-11T21:53:08Z,2023-03-28T12:24:13Z,2023-06-29T11:46:52Z,False,,False,"BSD 2-Clause ""Simplified"" License",Go,[],"A toolkit to automatically generate software components: abstract API, implementation stubs and language bindings"
Automattic/expect.js,2104,2011-12-18T23:56:22Z,2023-07-01T10:07:11Z,2023-01-14T22:56:32Z,False,,False,,JavaScript,[],Minimalistic BDD-style assertions for Node.JS and the browser.
Avnu/libavtp,48,2018-07-23T18:30:46Z,2023-05-30T22:22:02Z,2022-02-09T21:41:23Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",C,[],Open source implementation of Audio Video Transport Protocol (AVTP) specified in IEEE 1722-2016 spec.
Azure/WALinuxAgent,501,2012-06-06T18:55:55Z,2023-06-29T15:18:15Z,2023-06-30T20:02:35Z,False,,False,Apache License 2.0,Python,[],Microsoft Azure Linux Guest Agent 
Azure/azure-amqp-common-go,11,2018-03-21T20:24:23Z,2022-06-21T14:35:48Z,2023-05-24T19:49:24Z,False,,False,MIT License,Go,"['amqp', 'eventhubs', 'golang', 'messaging', 'azure', 'amqp1-0', 'event-hubs', 'service-bus']",Azure AMQP abstractions for Golang contains common types and interfaces for use in Service Bus and Event Hubs.
Azure/azure-cli,3613,2016-02-04T00:21:51Z,2023-07-02T04:04:08Z,2023-06-30T21:57:45Z,False,,False,MIT License,Python,"['azure', 'azure-cli', 'cloud']",Azure Command-Line Interface
Azure/azure-pipeline-go,21,2017-10-30T17:12:09Z,2023-04-01T16:11:50Z,2023-01-07T14:51:12Z,False,,False,MIT License,Go,[],"Package pipeline implements an HTTP request/response middleware pipeline whose policy objects mutate an HTTP request's URL, query parameters, and/or headers before the request is sent over the wire. This is the Go implementation."
Azure/azure-sdk-for-go,1295,2014-08-11T21:18:43Z,2023-07-01T14:54:55Z,2023-07-01T01:19:12Z,False,,False,MIT License,Go,"['azure', 'go', 'rest', 'azure-sdk', 'microsoft', 'golang', 'sdk', 'hacktoberfest']",This repository is for active development of the Azure SDK for Go. For consumers of the SDK we recommend visiting our public developer docs at:
Azure/azure-sdk-for-python,3743,2012-04-24T16:46:12Z,2023-07-01T17:14:31Z,2023-07-01T06:01:32Z,False,,False,MIT License,Python,"['python', 'azure', 'azure-sdk', 'hacktoberfest']",This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python. 
Azure/azure-service-bus-go,66,2018-01-10T18:23:43Z,2023-03-23T08:13:19Z,2021-11-16T23:56:50Z,False,2021-11-19T07:42:49Z,False,MIT License,Go,"['amqp10', 'amqp1-0', 'servicebus', 'queue', 'topic', 'subscription', 'events', 'messaging', 'amqp', 'azure']",Golang library for Azure Service Bus -- https://aka.ms/azsb
Azure/azure-storage-blob-go,150,2017-10-30T17:19:39Z,2023-06-02T20:08:32Z,2023-03-07T02:06:06Z,False,,False,MIT License,Go,[],Microsoft Azure Blob Storage Library for Go
Azure/azure-uamqp-python,50,2018-02-26T17:58:45Z,2023-06-09T09:29:27Z,2023-06-27T14:18:47Z,False,,False,MIT License,Python,[],AMQP 1.0 client library for Python
Azure/go-amqp,87,2019-12-11T02:53:17Z,2023-06-29T18:27:11Z,2023-06-08T22:46:10Z,True,,False,MIT License,Go,[],AMQP 1.0 client library for Go.
Azure/go-ansiterm,81,2015-06-08T21:08:30Z,2023-05-05T06:38:17Z,2023-02-25T09:01:17Z,False,,False,MIT License,Go,[],Go package for ANSI terminal emulation in Windows 
Azure/go-autorest,205,2015-07-20T17:33:08Z,2023-06-28T10:06:22Z,2023-06-28T13:45:03Z,False,,False,Apache License 2.0,Go,[],This package implements an HTTP request pipeline suitable for use across multiple go-routines and provides the shared routines relied on by AutoRest generated Go code.
Azure/go-ntlmssp,164,2015-10-17T04:17:33Z,2023-06-27T16:16:37Z,2023-05-16T04:24:44Z,False,,False,MIT License,Go,[],NTLM/Negotiate authentication over HTTP
Azure/msrest-for-python,38,2016-10-17T22:26:55Z,2023-06-22T10:10:08Z,2023-05-08T15:42:33Z,False,,False,MIT License,Python,"['azure', 'python', 'sdk', 'runtime']","The runtime library ""msrest"" for AutoRest generated Python clients."
Azure/msrestazure-for-python,17,2016-10-17T22:25:02Z,2023-06-25T16:14:40Z,2023-03-28T16:47:14Z,False,,False,MIT License,Python,[],"The runtime library ""msrestazure"" for AutoRest generated Python clients."
AzureAD/azure-activedirectory-library-for-python,256,2015-10-04T00:38:03Z,2023-06-19T00:52:12Z,2023-07-02T07:26:30Z,False,,False,Other,Python,[],ADAL for Python
AzureAD/microsoft-authentication-extensions-for-python,20,2019-05-03T22:45:36Z,2023-03-01T06:03:20Z,2023-01-19T02:54:32Z,False,,False,MIT License,Python,[],"Microsoft Authentication Library extensions (MSAL EX) provides a persistence API that can save your data on disk, encrypted on Windows, macOS and Linux. Concurrent data access will be coordinated by a file lock mechanism."
AzureAD/microsoft-authentication-library-for-python,607,2016-09-02T17:45:26Z,2023-06-24T03:32:47Z,2023-06-30T20:20:38Z,False,,False,Other,Python,"['msal-python', 'azure', 'sdks', 'microsoft-identity-platform']","Microsoft Authentication Library (MSAL) for Python makes it easy to authenticate to Azure Active Directory. These documented APIs are stable https://msal-python.readthedocs.io. If you have questions but do not have a github account, ask your questions on Stackoverflow with tag ""msal"" + ""python""."
BIC-MNI/libminc,18,2012-09-24T20:30:36Z,2022-12-26T13:19:32Z,2023-01-15T04:03:46Z,False,,False,Other,C,[],libminc is the core library and API of the MINC toolkit
BRiAl/BRiAl,16,2015-08-23T23:29:06Z,2022-11-24T08:04:52Z,2023-01-14T22:21:30Z,False,,False,Other,C++,[],Successor to PolyBoRi
BYVoid/OpenCC,7355,2010-07-15T13:02:03Z,2023-07-02T09:42:28Z,2023-06-16T10:25:57Z,False,,False,Apache License 2.0,C++,"['chinese-translation', 'traditional-chinese', 'simplified-chinese']",Conversion between Traditional and Simplified Chinese
Bachmann1234/diff_cover,600,2015-01-07T22:22:21Z,2023-06-29T06:23:00Z,2023-07-01T18:32:44Z,False,,False,Apache License 2.0,Python,[],Automatically find diff lines that need test coverage.
Backblaze/b2-sdk-python,148,2019-01-28T18:13:01Z,2023-06-29T22:40:23Z,2023-06-26T21:02:29Z,False,,False,Other,Python,['production'],Python library to access B2 cloud storage.
Bacon/BaconQrCode,1607,2013-03-23T18:02:32Z,2023-07-01T05:06:19Z,2023-06-24T16:01:39Z,False,,False,"BSD 2-Clause ""Simplified"" License",PHP,[],QR Code Generator for PHP
BasioMeusPuga/Lector,1458,2017-11-03T16:01:14Z,2023-06-30T17:40:32Z,2022-07-06T19:58:31Z,False,,False,GNU General Public License v3.0,Python,"['qt', 'python', 'epub', 'mobi', 'ebook', 'reader', 'crossplatform', 'ebook-reader', 'comic-reader', 'comics', 'djvu']",Qt based ebook reader
BelledonneCommunications/bcg729,101,2015-01-15T09:27:17Z,2023-06-20T10:33:15Z,2023-05-31T16:26:29Z,False,,False,GNU General Public License v3.0,C,[], Linphone.org mirror for bcg729 (git://git.linphone.org/bcg729.git)
BenHanson/lexertl14,46,2016-11-24T17:22:20Z,2023-06-26T23:54:36Z,2023-06-10T17:12:22Z,False,,False,,C++,[],C++14 version of lexertl
BenjaminJurke/cohomCalg,9,2017-01-07T23:56:54Z,2022-12-05T11:59:16Z,2020-07-10T08:12:45Z,False,,False,GNU General Public License v3.0,Mathematica,[],A software package for computation of sheaf cohomologies for line bundles on toric varieties.
BertoldVdb/ZoneDetect,65,2018-03-05T22:59:40Z,2023-06-11T08:36:47Z,2023-05-10T00:40:00Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",C++,[],"Find the timezone, country, ... for a given latitude and longitude"
Bitcoin-ABC/secp256k1,11,2020-01-02T02:43:37Z,2023-06-30T06:58:42Z,2023-07-01T23:54:26Z,False,,False,MIT License,C,[],Optimized C library for EC operations on curve secp256k1
Blosc/c-blosc,911,2011-07-03T11:38:39Z,2023-06-28T15:32:56Z,2023-05-16T08:41:47Z,False,,False,Other,C,"['c', 'compression', 'fast']","A blocking, shuffling and loss-less compression library that can be faster than `memcpy()`."
Blosc/python-blosc,333,2010-09-30T12:56:53Z,2023-06-22T20:18:44Z,2023-05-01T11:38:40Z,False,,False,Other,Python,"['python', 'wrapper', 'blosc', 'compression']",A Python wrapper for the extremely fast Blosc compression library 
BlueBrain/BluePyOpt,188,2016-02-15T13:16:19Z,2023-06-20T11:38:05Z,2023-06-14T11:32:22Z,False,,False,Other,Python,"['python', 'optimisations', 'neuroscience', 'parameter', 'modelling', 'electrophysiology', 'neurons', 'computational-neuroscience', 'cross-platform', 'biological-simulations', 'evolutionary-algorithms', 'genetic-algorithm']",Blue Brain Python Optimisation Library
BlueBrain/MorphIO,25,2017-07-19T08:50:52Z,2023-06-26T07:48:17Z,2023-06-29T07:19:24Z,False,,False,GNU Lesser General Public License v3.0,C++,"['neuron', 'neurons', 'morphology', 'python', 'glia', 'mitochondria', 'reticulum']",A python and C++ library for reading and writing neuronal morphologies
BlueBrain/NeuroM,95,2015-05-01T14:21:43Z,2023-06-30T03:28:59Z,2023-05-29T13:44:20Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",Python,"['neurons', 'python', 'morphologies']",Neuronal Morphology Analysis Tool
BlueBrain/libsonata,7,2019-03-12T15:14:33Z,2023-05-05T08:40:17Z,2023-06-30T13:22:30Z,False,,False,GNU Lesser General Public License v3.0,C++,"['circuit', 'simulation', 'modelling', 'sonata']",A python and C++ interface to the SONATA format
BlueBrain/mod2c,3,2016-03-11T12:53:22Z,2023-06-08T12:21:40Z,2023-06-08T12:18:09Z,False,2023-06-08T12:21:40Z,False,"BSD 3-Clause ""New"" or ""Revised"" License",C,[],Converter for mod files to C code
BoGoEngine/ibus-bogo,93,2012-09-08T06:19:07Z,2023-01-17T15:53:19Z,2017-10-19T09:11:08Z,False,2023-01-07T17:42:01Z,False,GNU General Public License v3.0,Python,[],IBus frontend for the BoGo engine.
Brewtarget/brewtarget,296,2015-03-04T23:40:39Z,2023-06-21T18:35:06Z,2023-06-27T06:51:20Z,False,,False,GNU General Public License v3.0,C++,[],Main brewtarget source code repository.
BuGlessRB/procmail,33,2022-03-02T09:27:28Z,2023-06-29T21:45:41Z,2022-03-02T10:44:52Z,False,,False,GNU General Public License v2.0,C,[],The mail sorting program
BuddiesOfBudgie/budgie-backgrounds,12,2022-08-30T18:36:54Z,2023-04-13T16:09:41Z,2023-07-01T18:04:27Z,False,,False,Creative Commons Zero v1.0 Universal,Meson,[],The default background set for the Budgie Desktop.
BuddiesOfBudgie/budgie-control-center,20,2022-01-07T16:59:09Z,2023-05-25T09:57:45Z,2023-04-11T19:15:39Z,False,,False,GNU General Public License v2.0,C,[],Budgie Control Center is a fork of GNOME Control Center for the Budgie 10 Series.
BuddiesOfBudgie/budgie-desktop,688,2022-01-02T09:33:56Z,2023-07-01T19:21:46Z,2023-06-22T20:07:05Z,False,,False,GNU General Public License v2.0,Vala,"['desktop-environment', 'linux']","Budgie Desktop is a familiar, modern desktop environment."
BuddiesOfBudgie/budgie-desktop-view,24,2022-01-02T17:14:50Z,2023-01-30T07:22:36Z,2023-05-01T07:35:18Z,False,,False,Apache License 2.0,Vala,"['desktop-icons', 'desktop-application', 'linux']",Budgie Desktop View is the official Budgie desktop icons application / implementation.
